                    Name      Mass  Radius  Orbit  Smass  Distance  Habitable           Method  Year  Unnamed: 9
1166         Kepler-14 b   2670.70   12.72   0.08   1.51    980.00          0  Primary Transit  2011         NaN
1167         Kepler-15 b    209.84   10.75   0.06   1.02       NaN          0  Primary Transit  2011         NaN
1168     Kepler-16(AB) b    105.87    8.44   0.70   0.69       NaN          0  Primary Transit  2011         NaN
1169         Kepler-17 b    778.95   14.69   0.03   1.16    800.00          0  Primary Transit  2011         NaN
1170         Kepler-18 b      6.87    2.00   0.04   0.97       NaN          0  Primary Transit  2011         NaN
1171         Kepler-18 c     17.21    5.48   0.08   0.97       NaN          0  Primary Transit  2011         NaN
1172         Kepler-18 d     16.31    6.96   0.12   0.97       NaN          0  Primary Transit  2011         NaN
1173         Kepler-19 b     15.76    2.22   0.08   0.94       NaN          0  Primary Transit  2011         NaN
1176         Kepler-20 b      9.70    1.87   0.05   0.91    290.00          0  Primary Transit  2011         NaN
1177         Kepler-20 c     12.76    3.04   0.09   0.91    290.00          0  Primary Transit  2011         NaN
1178         Kepler-20 d      3.96    2.74   0.28   0.91    290.00          0  Primary Transit  2011         NaN
1179         Kepler-20 e      0.54    0.86   0.06   0.91    290.00          0  Primary Transit  2011         NaN
1180         Kepler-20 f      0.87    1.00   0.14   0.91    290.00          0  Primary Transit  2011         NaN
1182         Kepler-21 b      4.79    1.64   0.04   1.34    108.00          0  Primary Transit  2011         NaN
1183         Kepler-22 b     20.36    2.35   0.85   0.97    190.00          1  Primary Transit  2011         NaN
1184         Kepler-23 b      5.42    1.69   0.07   1.11       NaN          0  Primary Transit  2012         NaN
1185         Kepler-23 c      5.92    3.11   0.10   1.11       NaN          0  Primary Transit  2012         NaN
1186         Kepler-23 d     17.49    2.23   0.12   1.11       NaN          0  Primary Transit  2014         NaN
1187         Kepler-24 b     20.36    2.35   0.08   1.03       NaN          0  Primary Transit  2012         NaN
1188         Kepler-24 c      4.24    2.80   0.11   1.03       NaN          0  Primary Transit  2012         NaN
1189         Kepler-25 b      3.77    2.70   0.07   1.22       NaN          0  Primary Transit  2012         NaN
1190         Kepler-25 c     27.13    5.15   0.11   1.22       NaN          0  Primary Transit  2012         NaN
1192         Kepler-26 b      4.13    2.78   0.09   0.65       NaN          0  Primary Transit  2012         NaN
1193         Kepler-26 c      3.87    2.72   0.11   0.65       NaN          0  Primary Transit  2012         NaN
1194         Kepler-26 e     22.64    2.41   0.22   0.65       NaN          0  Primary Transit  2014         NaN
1195         Kepler-27 b     13.05    4.03   0.12   0.65       NaN          0  Primary Transit  2012         NaN
1196         Kepler-27 c     23.78    4.93   0.19   0.65       NaN          0  Primary Transit  2012         NaN
1197         Kepler-28 b      9.13    3.58   0.06   0.75       NaN          0  Primary Transit  2012         NaN
1198         Kepler-28 c      7.49    3.36   0.08   0.75       NaN          0  Primary Transit  2012         NaN
1199         Kepler-29 b      7.42    3.35   0.09   1.00       NaN          0  Primary Transit  2012         NaN
1200         Kepler-29 c      6.05    3.14   0.11   1.00       NaN          0  Primary Transit  2012         NaN
1201         Kepler-30 b     11.98    3.92   0.18   0.99       NaN          0  Primary Transit  2012         NaN
1202         Kepler-30 c       NaN   12.32   0.30   0.99       NaN          0  Primary Transit  2012         NaN
1203         Kepler-30 d    159.45    8.85   0.50   0.99       NaN          0  Primary Transit  2012         NaN
1204         Kepler-31 b     15.34    4.26   0.16   1.21       NaN          0  Primary Transit  2012         NaN
1205         Kepler-31 c     15.34    4.26   0.26   1.21       NaN          0  Primary Transit  2012         NaN
1206         Kepler-31 d     18.84    4.56   0.39   1.21       NaN          0  Primary Transit  2014         NaN
1207         Kepler-32 b     14.16    4.14   0.05   0.58       NaN          0  Primary Transit  2012         NaN
1208         Kepler-32 c     10.03    3.70   0.09   0.58       NaN          0  Primary Transit  2012         NaN
1209         Kepler-33 b      6.72    1.79   0.07   1.29       NaN          0  Primary Transit  2012         NaN
1210         Kepler-33 c      6.75    3.25   0.12   1.29       NaN          0  Primary Transit  2012         NaN
1211         Kepler-33 d     30.87    5.38   0.17   1.29       NaN          0  Primary Transit  2012         NaN
1212         Kepler-33 e     13.05    4.03   0.21   1.29       NaN          0  Primary Transit  2012         NaN
1213         Kepler-33 f     17.89    4.48   0.25   1.29       NaN          0  Primary Transit  2012         NaN
1214    Kepler-34(AB)  b     69.92    8.55   1.07   2.07   1499.00          0  Primary Transit  2012         NaN
1215     Kepler-35(AB) b     40.31    8.15   0.60   1.70   1645.00          0  Primary Transit  2012         NaN
1216         Kepler-36 b      4.46    1.48   0.12   1.11       NaN          0  Primary Transit  2012         NaN
1217         Kepler-36 c      8.08    3.68   0.13   1.11       NaN          0  Primary Transit  2012         NaN
1218         Kepler-37 b      0.02    0.32   0.10   0.80     66.00          0  Primary Transit  2013         NaN
1219         Kepler-37 c      0.34    0.75   0.14   0.80     66.00          0  Primary Transit  2013         NaN
1220         Kepler-37 d      9.10    1.94   0.21   0.80     66.00          0  Primary Transit  2013         NaN
1221     Kepler-38(AB) b    120.82    4.37   0.46   0.95       NaN          0  Primary Transit  2012         NaN
1222         Kepler-39 b   5722.92   13.66   0.15   1.10   1200.00          0  Primary Transit  2011         NaN
1223         Kepler-40 b    699.47   13.10   0.08   1.48   2700.00          0  Primary Transit  2010         NaN
1224        Kepler-41  b    155.79    9.42   0.03   0.94    730.00          0  Primary Transit  2011         NaN
1225         Kepler-42 b      0.39    0.78   0.01   0.13     38.70          0  Primary Transit  2012         NaN
1226         Kepler-42 c      0.31    0.73   0.01   0.13     38.70          0  Primary Transit  2012         NaN
1227         Kepler-42 d      0.14    0.57   0.02   0.13     38.70          0  Primary Transit  2012         NaN
1228         Kepler-43 b   1026.95   13.44   0.04   1.32   1950.00          0  Primary Transit  2011         NaN
1229         Kepler-44 b    324.30   13.89   0.05   0.84   2250.00          0  Primary Transit  2011         NaN
1230         Kepler-45 b    160.56   10.75   0.03   0.56    333.00          0  Primary Transit  2011         NaN
1231         Kepler-46 b    178.24    9.09   0.20   0.90    857.00          0  Primary Transit  2012         NaN
1233     Kepler-47(AB) b      5.40    3.02   0.30   1.04       NaN          0  Primary Transit  2012         NaN
1234     Kepler-47(AB) c     19.26    4.59   0.99   1.04       NaN          0  Primary Transit  2012         NaN
1235         Kepler-48 b      8.10    1.88   0.05   0.88       NaN          0  Primary Transit  2012         NaN
1236         Kepler-48 c     14.62    2.71   0.09   0.88       NaN          0  Primary Transit  2012         NaN
1237         Kepler-48 d      7.95    2.04   0.23   0.88       NaN          0  Primary Transit  2014         NaN
1239         Kepler-49 b      3.72    2.69   0.06   0.55       NaN          0  Primary Transit  2012         NaN
1240         Kepler-49 c      3.24    2.58   0.08   0.55       NaN          0  Primary Transit  2012         NaN
1241         Kepler-49 d      4.42    1.60   0.03   0.55       NaN          0  Primary Transit  2014         NaN
1242         Kepler-49 e      3.99    1.56   0.12   0.55       NaN          0  Primary Transit  2014         NaN
1243         Kepler-50 b     31.79    2.24   0.08   1.24       NaN          0  Primary Transit  2012         NaN
1244         Kepler-50 c     34.97    2.80   0.09   1.24       NaN          0  Primary Transit  2012         NaN
1245         Kepler-51 b      2.10    7.09   0.25   1.00       NaN          0  Primary Transit  2012         NaN
1246         Kepler-51 c      4.00    8.99   0.38   1.00       NaN          0  Primary Transit  2012         NaN
1247         Kepler-52 b     13.26    2.13   0.06   0.54       NaN          0  Primary Transit  2012         NaN
1248         Kepler-52 c      6.72    1.79   0.10   0.54       NaN          0  Primary Transit  2012         NaN
1249         Kepler-52 d      9.29    1.95   0.18   0.54       NaN          0  Primary Transit  2014         NaN
1250         Kepler-53 b      4.80    2.91   0.14   0.98       NaN          0  Primary Transit  2012         NaN
1251         Kepler-53 c   5007.56    3.14   0.22   0.98       NaN          0  Primary Transit  2012         NaN
1252         Kepler-53 d     12.97    2.12   0.09   0.98       NaN          0  Primary Transit  2014         NaN
1253         Kepler-54 b     13.26    2.13   0.06   0.51       NaN          0  Primary Transit  2012         NaN
1254         Kepler-54 c      1.75    1.23   0.08   0.51       NaN          0  Primary Transit  2012         NaN
1255         Kepler-54 d      3.69    1.52   0.13   0.51       NaN          0  Primary Transit  2014         NaN
1256         Kepler-55 b     25.16    2.46   0.15   0.62       NaN          0  Primary Transit  2012         NaN
1257         Kepler-55 c     16.46    2.24   0.20   0.62       NaN          0  Primary Transit  2012         NaN
1258         Kepler-55 d      4.31    1.59   0.03   0.62       NaN          0  Primary Transit  2014         NaN
1259         Kepler-55 e      3.88    1.55   0.05   0.62       NaN          0  Primary Transit  2014         NaN
1260         Kepler-55 f      4.31    1.59   0.08   0.62       NaN          0  Primary Transit  2014         NaN
1261         Kepler-56 b     22.26    6.50   0.10   1.32       NaN          0  Primary Transit  2012         NaN
1262         Kepler-56 c    180.91    9.86   0.17   1.32       NaN          0  Primary Transit  2012         NaN
1264         Kepler-57 b     16.46    2.24   0.06   0.83       NaN          0  Primary Transit  2012         NaN
1265         Kepler-57 c   2209.68    1.57   0.09   0.83       NaN          0  Primary Transit  2012         NaN
1266         Kepler-58 b    441.94    2.80   0.09   0.95       NaN          0  Primary Transit  2012         NaN
1267         Kepler-58 c    696.29    2.91   0.12   0.95       NaN          0  Primary Transit  2012         NaN
1268         Kepler-58 d      4.92    2.93   0.24   0.95       NaN          0  Primary Transit  2014         NaN
1269         Kepler-59 b    651.78    1.10   0.10   1.04       NaN          0  Primary Transit  2012         NaN
1270         Kepler-59 c    435.58    2.02   0.14   1.04       NaN          0  Primary Transit  2012         NaN
1271         Kepler-60 b      4.19    1.71   0.07   1.10       NaN          0  Primary Transit  2012         NaN
1272         Kepler-60 c      3.85    1.90   0.09   1.10       NaN          0  Primary Transit  2012         NaN
1273         Kepler-60 d      4.17    1.99   0.11   1.10       NaN          0  Primary Transit  2012         NaN
1274         Kepler-61 b     13.85    2.15   0.26   0.64    326.00          1  Primary Transit  2012         NaN
1275         Kepler-62 b      2.17    1.31   0.06   0.69    368.00          0  Primary Transit  2013         NaN
1276         Kepler-62 c      0.12    0.54   0.09   0.69    368.00          0  Primary Transit  2013         NaN
1277         Kepler-62 d      9.29    1.95   0.12   0.69    368.00          0  Primary Transit  2013         NaN
1278         Kepler-62 e      4.54    1.61   0.43   0.69    368.00          1  Primary Transit  2013         NaN
1279         Kepler-62 f      2.81    1.41   0.72   0.69    368.00          1  Primary Transit  2013         NaN
1280         Kepler-63 b     45.39    6.10   0.08   0.98    200.00          0  Primary Transit  2013         NaN
1281     Kepler-64(AB) b    168.51    6.19   0.63   1.93       NaN          0  Primary Transit  2013         NaN
1282         Kepler-65 b      2.78    1.41   0.03   1.20    312.43          0  Primary Transit  2013         NaN
1283         Kepler-65 c     26.71    2.57   0.07   1.20    312.43          0  Primary Transit  2013         NaN
1284         Kepler-65 d      3.53    1.51   0.08   1.20    312.43          0  Primary Transit  2013         NaN
1285         Kepler-66 b      4.24    2.80   0.14   1.04   1107.00          0  Primary Transit  2013         NaN
1286         Kepler-67 b      4.80    2.91   0.12   0.86   1107.00          0  Primary Transit  2013         NaN
1287         Kepler-68 b      5.98    2.31   0.06   1.08    135.00          0  Primary Transit  2013         NaN
1288         Kepler-68 c      0.67    0.93   0.08   1.08    135.00          0  Primary Transit  2013         NaN
1290         Kepler-69 b     16.11    2.23   0.09   0.81       NaN          0  Primary Transit  2013         NaN
1291         Kepler-69 c      5.68    1.71   0.63   0.81       NaN          0  Primary Transit  2013         NaN
1294         Kepler-71 b       NaN   11.71   0.05   0.92       NaN          0  Primary Transit  2013         NaN
1295         Kepler-74 b    216.20   14.78   0.08   1.02   1330.00          0  Primary Transit  2012         NaN
1296         Kepler-75 b   3147.61   11.54   0.07   0.88   1140.00          0  Primary Transit  2013         NaN
1297         Kepler-76 b    623.16   14.00   0.03   1.20       NaN          0  Primary Transit  2013         NaN
1298         Kepler-77 b    136.71   10.75   0.05   0.95    570.00          0  Primary Transit  2013         NaN
1299         Kepler-78 b      1.60    1.20   0.01   0.81       NaN          0  Primary Transit  2013         NaN
1300         Kepler-79 b     10.90    3.47   0.12   1.18       NaN          0  Primary Transit  2013         NaN
1301         Kepler-79 c      5.90    3.72   0.19   1.18       NaN          0  Primary Transit  2013         NaN
1302         Kepler-79 d      6.00    7.17   0.29   1.18       NaN          0  Primary Transit  2013         NaN
1303         Kepler-79 e      4.10    3.49   0.39   1.18       NaN          0  Primary Transit  2013         NaN
1304         Kepler-80 b      6.93    2.35   0.06   0.72       NaN          0  Primary Transit  2012         NaN
1305         Kepler-80 c      6.74    2.58   0.08   0.72       NaN          0  Primary Transit  2012         NaN
1306         Kepler-80 d      6.74    1.40   0.04   0.72       NaN          0  Primary Transit  2012         NaN
1307         Kepler-80 e      4.13    1.50   0.05   0.72       NaN          0  Primary Transit  2012         NaN
1309         kepler-80 g      1.31    1.13   0.14   1.71       NaN          0  Primary Transit  2017         NaN
1310         Kepler-81 b      3.10    2.54   0.06   0.65       NaN          0  Primary Transit  2013         NaN
1311         Kepler-81 c     24.53    2.45   0.09   0.65       NaN          0  Primary Transit  2013         NaN
1312         Kepler-81 d      1.65    1.21   0.13   0.65       NaN          0  Primary Transit  2014         NaN
1313         Kepler-82 b     13.82    4.11   0.17   0.92       NaN          0  Primary Transit  2011         NaN
1314         Kepler-82 c     35.55    5.63   0.26   0.92       NaN          0  Primary Transit  2011         NaN
1315         Kepler-82 d      6.40    1.77   0.03   0.92       NaN          0  Primary Transit  2011         NaN
1316         Kepler-82 e     25.16    2.46   0.06   0.92       NaN          0  Primary Transit  2011         NaN
1317         Kepler-83 b     19.94    2.34   0.08   0.66       NaN          0  Primary Transit  2013         NaN
1318         Kepler-83 c      9.15    1.94   0.13   0.66       NaN          0  Primary Transit  2013         NaN
1319         Kepler-83 d      9.09    1.94   0.05   0.66       NaN          0  Primary Transit  2014         NaN
1320         Kepler-84 b     15.26    2.20   0.08   1.02       NaN          0  Primary Transit  2013         NaN
1321         Kepler-84 c     22.35    2.40   0.11   1.02       NaN          0  Primary Transit  2013         NaN
1322         Kepler-84 d      2.58    1.38   0.05   1.02       NaN          0  Primary Transit  2014         NaN
1323         Kepler-84 e      3.33    2.60   0.18   1.02       NaN          0  Primary Transit  2014         NaN
1324         Kepler-84 f     15.10    2.20   0.25   1.02       NaN          0  Primary Transit  2014         NaN
1325         Kepler-85 b     14.78    1.99   0.08   0.95       NaN          0  Primary Transit  2013         NaN
1326         Kepler-85 c     18.76    2.21   0.10   0.95       NaN          0  Primary Transit  2013         NaN
1327         Kepler-85 d      1.59    1.20   0.13   0.95       NaN          0  Primary Transit  2014         NaN
1328         Kepler-85 e      1.92    1.27   0.16   0.95       NaN          0  Primary Transit  2014         NaN
1329         Kepler-86 b    295.83   10.14   0.76   0.94       NaN          0  Primary Transit  2013         NaN
1330         Kepler-87 b    324.30   13.55   0.47   1.10       NaN          0  Primary Transit  2013         NaN
1331         Kepler-87 c      6.39    6.15   0.66   1.10       NaN          0  Primary Transit  2012         NaN
1332         Kepler-88 b      8.70    3.78   0.10   1.02    385.00          0  Primary Transit  2013         NaN
1334         Kepler-89 b     10.49    1.71   0.05   1.25       NaN          0  Primary Transit  2012         NaN
1335         Kepler-89 c     15.58    4.32   0.10   1.25       NaN          0  Primary Transit  2012         NaN
1336         Kepler-89 d     52.14   10.98   0.17   1.25       NaN          0  Primary Transit  2012         NaN
1337         Kepler-89 e     13.04    6.16   0.30   1.25       NaN          0  Primary Transit  2012         NaN
1338         Kepler-90 b      2.17    1.31   0.07   1.13       NaN          0  Primary Transit  2013         NaN
1339         Kepler-90 c      1.54    1.19   0.09   1.13       NaN          0  Primary Transit  2013         NaN
1340         Kepler-90 d      4.62    2.88   0.32   1.13       NaN          0  Primary Transit  2013         NaN
1341         Kepler-90 e      3.62    2.67   0.42   1.13       NaN          0  Primary Transit  2013         NaN
1342         Kepler-90 f      4.68    2.89   0.48   1.13       NaN          0  Primary Transit  2013         NaN
1343         Kepler-90 g    115.43    8.12   0.71   1.13       NaN          0  Primary Transit  2013         NaN
1344         Kepler-90 h    671.80   11.31   1.01   1.13       NaN          0  Primary Transit  2013         NaN
1345         Kepler-90 i      2.23    1.32   0.20   1.13       NaN          0  Primary Transit  2017         NaN
1346         Kepler-91 b    232.10   15.50   0.07   1.31   1030.00          0  Primary Transit  2013         NaN
1347         Kepler-92 b     60.09    3.65   0.12   1.21    448.57          0  Primary Transit  2013         NaN
1348         Kepler-92 c      5.69    2.45   0.19   1.21    448.57          0  Primary Transit  2013         NaN
1349         Kepler-92 d     11.73    2.07   0.28   1.21    448.57          0  Primary Transit  2015         NaN
1350         Kepler-93 b      4.01    1.48   0.05   0.91       NaN          0  Primary Transit  2014         NaN
1351         Kepler-94 b     10.84    3.51   0.03   0.81       NaN          0  Primary Transit  2014         NaN
1353         Kepler-95 b     13.04    3.42   0.10   1.08       NaN          0  Primary Transit  2014         NaN
1354         Kepler-96 b      8.58    2.67   0.13   1.00       NaN          0  Primary Transit  2014         NaN
1355        Kepler-100 b      7.34    1.30   0.07   1.11    310.34          0  Primary Transit  2014         NaN
1356        Kepler-100 c      0.86    2.22   0.11   1.11    310.34          0  Primary Transit  2014         NaN
1357        Kepler-100 d      2.99    1.51   0.20   1.11    310.34          0  Primary Transit  2014         NaN
1358        Kepler-101 b     40.25    5.87   0.05   1.12       NaN          0  Primary Transit  2014         NaN
1359        Kepler-101 c      2.30    1.33   0.07   1.12       NaN          0  Primary Transit  2014         NaN
1360        Kepler-102 b      0.41    0.47   0.06   0.81       NaN          0  Primary Transit  2014         NaN
1361        Kepler-102 c      2.86    0.58   0.07   0.81       NaN          0  Primary Transit  2013         NaN
1362        Kepler-102 d      2.61    1.16   0.09   0.81       NaN          0  Primary Transit  2014         NaN
1363        Kepler-102 e      8.93    2.22   0.12   0.81       NaN          0  Primary Transit  2013         NaN
1364        Kepler-102 f      0.64    0.88   0.17   0.81       NaN          0  Primary Transit  2013         NaN
1365        Kepler-103 b      9.86    3.47   0.13   1.10    473.56          0  Primary Transit  2014         NaN
1366        Kepler-103 c     36.25    5.31   0.64   1.10    473.56          0  Primary Transit  2014         NaN
1367        Kepler-104 b      5.85    3.10   0.09   0.81       NaN          0  Primary Transit  2014         NaN
1368        Kepler-104 c      5.99    3.12   0.15   0.81       NaN          0  Primary Transit  2014         NaN
1369        Kepler-104 d      9.05    3.57   0.26   0.81       NaN          0  Primary Transit  2014         NaN
1370        Kepler-105 c      4.45    1.31   0.07   1.28       NaN          0  Primary Transit  2014         NaN
1371        Kepler-106 b      0.15    0.82   0.07   1.00       NaN          0  Primary Transit  2014         NaN
1372        Kepler-106 c     10.44    2.50   0.11   1.00       NaN          0  Primary Transit  2014         NaN
1373        Kepler-106 d      7.95    0.95   0.16   1.00       NaN          0  Primary Transit  2014         NaN
1374        Kepler-106 e     11.17    2.55   0.24   1.00       NaN          0  Primary Transit  2014         NaN
1375        Kepler-107 b      4.20    1.58   0.04   1.12       NaN          0  Primary Transit  2014         NaN
1376        Kepler-107 c      5.08    1.66   0.06   1.14       NaN          0  Primary Transit  2014         NaN
1377        Kepler-107 d      1.06    1.06   0.08   1.16       NaN          0  Primary Transit  2014         NaN
1378        Kepler-107 e      4.86    2.92   0.12   1.14       NaN          0  Primary Transit  2014         NaN
1379        Kepler-108 b    220.66    9.55   0.28   0.87       NaN          0  Primary Transit  2014         NaN
1380        Kepler-108 c    120.69    8.22   0.72   0.87       NaN          0  Primary Transit  2014         NaN
1381        Kepler-109 b      1.30    2.34   0.07   1.07    464.73          0  Primary Transit  2014         NaN
1382        Kepler-109 c      2.22    2.63   0.15   1.07    464.73          0  Primary Transit  2014         NaN
1383        Kepler-110 b      7.21    1.83   0.11   1.02       NaN          0  Primary Transit  2014         NaN
1384        Kepler-110 c     15.43    2.21   0.20   1.03       NaN          0  Primary Transit  2014         NaN
1385        Kepler-111 b      4.20    1.58   0.05   1.16       NaN          0  Primary Transit  2014         NaN
1386        Kepler-111 c     79.78    7.29   0.76   1.16       NaN          0  Primary Transit  2014         NaN
1387        Kepler-112 b     20.80    2.36   0.08   0.83       NaN          0  Primary Transit  2014         NaN
1388        Kepler-112 c     22.16    2.40   0.17   0.83       NaN          0  Primary Transit  2014         NaN
1389        Kepler-113 b     11.70    1.81   0.05   0.75       NaN          0  Primary Transit  2014         NaN
1390        Kepler-113 c      8.58    2.17   0.08   0.75       NaN          0  Primary Transit  2014         NaN
1391        Kepler-114 b      7.00    1.18   0.05   0.71       NaN          0  Primary Transit  2013         NaN
1392        Kepler-114 c     40.01    1.60   0.07   0.71       NaN          0  Primary Transit  2013         NaN
1393        Kepler-114 d      4.80    2.53   0.09   0.71       NaN          0  Primary Transit  2013         NaN
1394        Kepler-115 b      1.14    1.09   0.04   1.00       NaN          0  Primary Transit  2014         NaN
1395        Kepler-115 c      3.33    2.60   0.09   1.00       NaN          0  Primary Transit  2014         NaN
1396        Kepler-116 b      7.89    3.42   0.07   1.16       NaN          0  Primary Transit  2014         NaN
1397        Kepler-116 c     18.31    2.30   0.12   1.16       NaN          0  Primary Transit  2014         NaN
1398        Kepler-117 b    100.48    7.81   0.15   1.22       NaN          0  Primary Transit  2014         NaN
1399        Kepler-117 c    656.11   11.29   0.29   1.22       NaN          0  Primary Transit  2014         NaN
1400        Kepler-118 b      9.51    1.96   0.07   0.86       NaN          0  Primary Transit  2014         NaN
1401        Kepler-118 c     94.65    7.67   0.14   0.86       NaN          0  Primary Transit  2014         NaN
1402        Kepler-119 b      9.22    3.60   0.04   0.98       NaN          0  Primary Transit  2014         NaN
1403        Kepler-119 c      0.66    0.92   0.05   0.92       NaN          0  Primary Transit  2014         NaN
1404        Kepler-120 b     13.85    2.15   0.06   0.56       NaN          0  Primary Transit  2014         NaN
1405        Kepler-120 c      3.69    1.52   0.09   0.56       NaN          0  Primary Transit  2014         NaN
1406        Kepler-121 b     19.94    2.34   0.04   0.78       NaN          0  Primary Transit  2014         NaN
1407        Kepler-121 c     17.55    2.27   0.22   0.80       NaN          0  Primary Transit  2014         NaN
1408        Kepler-122 b     19.94    2.34   0.06   0.99       NaN          0  Primary Transit  2014         NaN
1409        Kepler-122 c     40.25    5.87   0.11   0.99       NaN          0  Primary Transit  2014         NaN
1410        Kepler-122 d     15.10    2.20   0.15   0.99       NaN          0  Primary Transit  2014         NaN
1411        Kepler-122 e      3.33    2.60   0.23   0.99       NaN          0  Primary Transit  2014         NaN
1412        Kepler-123 b      4.92    2.93   0.14   1.03       NaN          0  Primary Transit  2014         NaN
1413        Kepler-123 c      3.31    1.48   0.18   1.03       NaN          0  Primary Transit  2014         NaN
1414        Kepler-124 b      0.31    0.73   0.04   0.68       NaN          0  Primary Transit  2014         NaN
1415        Kepler-124 c      6.10    1.75   0.10   0.70       NaN          0  Primary Transit  2014         NaN
1416        Kepler-124 d      1.23    1.11   0.17   0.68       NaN          0  Primary Transit  2014         NaN
1417        Kepler-125 b     20.80    2.36   0.04   0.55       NaN          0  Primary Transit  2014         NaN
1418        Kepler-125 c      0.32    0.74   0.05   0.55       NaN          0  Primary Transit  2014         NaN
1419        Kepler-126 b      3.00    1.44   0.10   1.18       NaN          0  Primary Transit  2014         NaN
1420        Kepler-126 c      3.46    1.50   0.16   1.19       NaN          0  Primary Transit  2014         NaN
1421        Kepler-126 d      2.98    2.51   0.45   1.19       NaN          0  Primary Transit  2014         NaN
1422        Kepler-127 b      3.69    1.52   0.11   1.25       NaN          0  Primary Transit  2014         NaN
1423        Kepler-127 c     21.75    2.39   0.20   1.24       NaN          0  Primary Transit  2014         NaN
1424        Kepler-127 d      3.62    2.67   0.28   1.24       NaN          0  Primary Transit  2014         NaN
1425        Kepler-128 b     29.92    1.13   0.13   1.17       NaN          0  Primary Transit  2013         NaN
1426        Kepler-128 c     33.07    1.13   0.17   1.17       NaN          0  Primary Transit  2013         NaN
1427        Kepler-129 b     22.59    2.41   0.13   1.18       NaN          0  Primary Transit  2014         NaN
1428        Kepler-129 c      3.02    2.52   0.39   1.18       NaN          0  Primary Transit  2014         NaN
1429        Kepler-130 b      0.80    0.98   0.08   1.00       NaN          0  Primary Transit  2014         NaN
1430        Kepler-130 c      4.28    2.81   0.18   1.00       NaN          0  Primary Transit  2014         NaN
1431        Kepler-130 d      2.17    1.31   0.23   1.00       NaN          0  Primary Transit  2014         NaN
1432        Kepler-131 b     16.14    2.41   0.13   1.02       NaN          0  Primary Transit  2014         NaN
1433        Kepler-131 c      8.27    0.84   0.17   1.02       NaN          0  Primary Transit  2014         NaN
1434        Kepler-132 b      1.65    1.21   0.07   1.05       NaN          0  Primary Transit  2014         NaN
1435        Kepler-132 c      1.98    1.28   0.07   1.02       NaN          0  Primary Transit  2014         NaN
1436        Kepler-132 d      3.88    1.55   0.14   1.04       NaN          0  Primary Transit  2014         NaN
1438        Kepler-133 b      6.25    1.76   0.08   1.15       NaN          0  Primary Transit  2014         NaN
1439        Kepler-133 c      4.40    2.83   0.20   1.14       NaN          0  Primary Transit  2014         NaN
1440        Kepler-134 b     10.17    1.99   0.06   1.02       NaN          0  Primary Transit  2014         NaN
1441        Kepler-134 c      1.86    1.25   0.09   1.02       NaN          0  Primary Transit  2014         NaN
1442        Kepler-135 b      6.88    1.80   0.07   1.11       NaN          0  Primary Transit  2014         NaN
1443        Kepler-135 c      1.40    1.15   0.10   1.11       NaN          0  Primary Transit  2014         NaN
1444        Kepler-136 b     11.37    2.05   0.11   1.20       NaN          0  Primary Transit  2014         NaN
1445        Kepler-136 c     10.17    1.99   0.13   1.20       NaN          0  Primary Transit  2014         NaN
1446        Kepler-137 b      3.22    1.47   0.08   0.86       NaN          0  Primary Transit  2014         NaN
1447        Kepler-137 c      8.10    1.88   0.13   0.84       NaN          0  Primary Transit  2014         NaN
1448        Kepler-138 b      0.07    0.58   0.07   0.57       NaN          0  Primary Transit  2014         NaN
1449        Kepler-138 c      1.01    1.61   0.09   0.57       NaN          0  Primary Transit  2014         NaN
1451        Kepler-139 b      4.92    2.93   0.13   1.08       NaN          0  Primary Transit  2014         NaN
1452        Kepler-139 c      7.65    3.38   0.59   1.08       NaN          0  Primary Transit  2014         NaN
1453        Kepler-140 b      4.54    1.61   0.04   1.15       NaN          0  Primary Transit  2014         NaN
1454        Kepler-140 c      6.88    1.80   0.41   1.14       NaN          0  Primary Transit  2014         NaN
1455        Kepler-141 b      0.27    0.69   0.04   1.00       NaN          0  Primary Transit  2014         NaN
1456        Kepler-141 c      2.81    1.41   0.07   1.00       NaN          0  Primary Transit  2014         NaN
1457        Kepler-142 b     10.17    1.99   0.03   0.99       NaN          0  Primary Transit  2014         NaN
1458        Kepler-142 c      4.51    2.86   0.06   0.99       NaN          0  Primary Transit  2014         NaN
1459        Kepler-142 d     14.15    2.16   0.24   0.99       NaN          0  Primary Transit  2014         NaN
1460        Kepler-143 b     22.64    2.41   0.13   1.07       NaN          0  Primary Transit  2014         NaN
1461        Kepler-143 c      7.57    3.37   0.18   1.08       NaN          0  Primary Transit  2014         NaN
1462        Kepler-144 b      2.30    1.33   0.07   1.03       NaN          0  Primary Transit  2014         NaN
1463        Kepler-144 c      2.37    1.34   0.09   1.03       NaN          0  Primary Transit  2014         NaN
1464        Kepler-145 b     37.10    2.55   0.16   1.42    584.10          0  Primary Transit  2013         NaN
1465        Kepler-145 c     79.42    3.92   0.27   1.42    584.10          0  Primary Transit  2013         NaN
1466        Kepler-146 b     10.12    3.71   0.20   1.10       NaN          0  Primary Transit  2014         NaN
1467        Kepler-146 c      5.99    3.12   0.36   1.09       NaN          0  Primary Transit  2014         NaN
1468        Kepler-147 b      3.69    1.52   0.11   1.01       NaN          0  Primary Transit  2014         NaN
1469        Kepler-147 c     23.62    2.43   0.22   1.01       NaN          0  Primary Transit  2014         NaN
