                    Name      Mass  Radius  Orbit  Smass  Distance  Habitable           Method  Year  Unnamed: 9
154    EPIC  211945201 b     27.02    6.12   0.15   1.18    182.60          0  Primary Transit  2018         NaN
155     EPIC 211969807 b      8.48    1.90   0.02   0.51       NaN          0  Primary Transit  2016         NaN
156     EPIC 211970147 b      2.37    1.34   0.08   0.77       NaN          0  Primary Transit  2016         NaN
157     EPIC 211990866 b      8.29    3.47   0.03   1.18       NaN          0  Primary Transit  2016         NaN
158     EPIC 212006344 b      1.70    1.22   0.03   0.64     74.00          0  Primary Transit  2017         NaN
159     EPIC 213715787 b      2.58    1.38   0.02   0.58     88.00          0  Primary Transit  2017         NaN
160     EPIC 216468514 b    267.07   16.13   0.05   1.30       NaN          0  Primary Transit  2016         NaN
161     EPIC 219388192 b  11604.81   10.49   0.06   0.99    300.00          0  Primary Transit  2016         NaN
162     EPIC 220194974 b      2.30    1.33   0.05   0.65    121.00          0  Primary Transit  2017         NaN
163     EPIC 220194974 c      5.82    1.72   0.06   0.65    121.00          0  Primary Transit  2017         NaN
164     EPIC 220194974 d      4.77    1.64   0.08   0.65    121.00          0  Primary Transit  2017         NaN
165     EPIC 220504338 b    406.96   10.19   0.06   1.01    553.40          0  Primary Transit  2016         NaN
166     EPIC 220522664 b      4.77    1.64   0.08   0.59    118.00          0  Primary Transit  2017         NaN
167     EPIC 220598331 b     10.17    1.99   0.07   0.46    110.00          0  Primary Transit  2017         NaN
168     EPIC 220621087 b      2.37    1.34   0.04   0.44     62.70          0  Primary Transit  2017         NaN
169     EPIC 228735255 b    323.98   12.26   0.06   1.00    340.24          0  Primary Transit  2017         NaN
170     EPIC 228754001 b    157.38   12.20   0.09   1.19       NaN          0  Primary Transit  2017         NaN
171     EPIC 228934525 b     16.11    2.23   0.04   0.67    133.00          0  Primary Transit  2017         NaN
172     EPIC 228934525 c     12.42    2.09   0.07   0.67    133.00          0  Primary Transit  2017         NaN
173     EPIC 246911830 b    451.47   17.38   0.04   1.39    676.00          0  Primary Transit  2018         NaN
176     EPIC 248545986 b      1.40    1.10   0.04   0.40     49.00          0  Primary Transit  2018         NaN
177     EPIC 248545986 c      0.89    1.00   0.06   0.40     49.00          0  Primary Transit  2018         NaN
178     EPIC 248545986 d      1.30    1.10   0.07   0.40     49.00          0  Primary Transit  2018         NaN
179     EPIC 249622103 b      2.71    1.40   0.03   0.80     69.00          0  Primary Transit  2018         NaN
180     EPIC 249622103 c      2.30    1.33   0.07   0.80     69.00          0  Primary Transit  2018         NaN
181     EPIC 249622103 d      3.49    2.64   0.15   0.80     69.00          0  Primary Transit  2018         NaN
182     EPIC 249801827 b   1589.70    1.99   0.05   0.58     70.00          0  Primary Transit  2018         NaN
183     EPIC 249801827 c      4.61    1.80   0.12   0.58     70.00          0  Primary Transit  2018         NaN
219             GJ 436 b     22.26    4.26   0.03   0.45     10.20          0  Primary Transit  2004         NaN
254            GJ 1132 b      1.62    1.15   0.02   0.18     12.04          0  Primary Transit  2015         NaN
255            GJ 1132 c      2.64    1.39   0.05   0.18     12.04          0  Primary Transit  2018         NaN
256            GJ 1214 b      6.46    2.67   0.01   0.15     13.00          0  Primary Transit  2009         NaN
268            GJ 3470 b     13.91    4.19   0.04   0.54     29.28          0  Primary Transit  2012         NaN
273            GJ 9827 b      8.20    1.64   0.02   0.66     30.30          0  Primary Transit  2017         NaN
274            GJ 9827 c      2.51    1.29   0.04   0.66     30.30          0  Primary Transit  2017         NaN
275            GJ 9827 d      3.82    2.08   0.06   0.66     30.30          0  Primary Transit  2017         NaN
280            HAT-P-1 b    166.92   14.77   0.06   1.15    139.00          0  Primary Transit  2006         NaN
281            HAT-P-2 b   2778.80   10.65   0.06   1.34    118.00          0  Primary Transit  2007         NaN
282            HAT-P-3 b    187.90    9.26   0.04   0.92    130.00          0  Primary Transit  2007         NaN
283            HAT-P-4 b    216.20   14.22   0.04   1.26    310.00          0  Primary Transit  2007         NaN
284            HAT-P-5 b    337.02   14.02   0.04   1.16    340.00          0  Primary Transit  2007         NaN
285            HAT-P-6 b    336.06   14.90   0.05   1.29    200.00          0  Primary Transit  2007         NaN
286            HAT-P-7 b    553.53   16.03   0.04   1.51    320.00          0  Primary Transit  2008         NaN
287            HAT-P-8 b    426.04   16.80   0.04   1.28    230.00          0  Primary Transit  2008         NaN
288            HAT-P-9 b    213.02   15.68   0.05   1.28    480.00          0  Primary Transit  2008         NaN
289           HAT-P-11 b     26.21    4.73   0.05   0.81     38.00          0  Primary Transit  2009         NaN
290           HAT-P-12 b     66.92   10.69   0.04   0.73    142.50          0  Primary Transit  2009         NaN
291           HAT-P-13 b    270.25   14.34   0.04   1.22    214.00          0  Primary Transit  2009         NaN
293           HAT-P-14 b    699.47   13.44   0.06   1.39    205.00          0  Primary Transit  2010         NaN
294           HAT-P-15 b    618.71   12.01   0.09   1.01    190.00          0  Primary Transit  2010         NaN
295           HAT-P-16 b   1333.12   14.44   0.04   1.22    235.00          0  Primary Transit  2010         NaN
296           HAT-P-17 b    169.78   11.31   0.08   0.86     90.00          0  Primary Transit  2010         NaN
298           HAT-P-18 b     58.18   10.61   0.06   0.77    166.00          0  Primary Transit  2010         NaN
299           HAT-P-19 b     92.84   12.68   0.05   0.84    215.00          0  Primary Transit  2010         NaN
300           HAT-P-20 b   2303.79    9.71   0.04   0.76     70.00          0  Primary Transit  2010         NaN
301           HAT-P-21 b   1291.79   11.47   0.05   0.95    254.00          0  Primary Transit  2010         NaN
302           HAT-P-22 b    682.62   12.10   0.04   0.92     82.00          0  Primary Transit  2010         NaN
303           HAT-P-23 b    664.49   15.32   0.02   1.13    393.00          0  Primary Transit  2010         NaN
304           HAT-P-24 b    217.79   13.91   0.05   1.19    306.00          0  Primary Transit  2010         NaN
305           HAT-P-25 b    180.27   13.33   0.05   1.01    297.00          0  Primary Transit  2010         NaN
306           HAT-P-26 b     18.61    6.32   0.05   0.82    134.00          0  Primary Transit  2010         NaN
307   HAT-P-27-WASP-40 b    209.84   11.82   0.04   0.94    204.00          0  Primary Transit  2011         NaN
308           HAT-P-28 b    199.03   13.57   0.04   1.02    395.00          0  Primary Transit  2011         NaN
309           HAT-P-29 b    247.36   12.40   0.07   1.21    322.00          0  Primary Transit  2011         NaN
310   HAT-P-30-WASP-51 b    226.06   15.01   0.04   1.18    193.00          0  Primary Transit  2011         NaN
311           HAT-P-31 b    690.25   11.98   0.05   1.22    354.00          0  Primary Transit  2011         NaN
312           HAT-P-32 b    299.18   22.81   0.03   1.18    320.00          0  Primary Transit  2011         NaN
313           HAT-P-33 b    242.59   20.46   0.05   1.40    419.00          0  Primary Transit  2011         NaN
314           HAT-P-34 b   1058.10   12.40   0.06   1.36    257.00          0  Primary Transit  2012         NaN
315           HAT-P-35 b    335.11   14.92   0.05   1.24    535.00          0  Primary Transit  2012         NaN
316           HAT-P-36 b    582.47   14.16   0.02   1.02    317.00          0  Primary Transit  2012         NaN
317           HAT-P-37 b    371.67   13.19   0.04   0.93    411.00          0  Primary Transit  2012         NaN
318           HAT-P-38 b     84.89    9.24   0.05   0.89    249.00          0  Primary Transit  2012         NaN
319           HAT-P-39 b    190.45   17.60   0.05   1.40    642.00          0  Primary Transit  2012         NaN
320           HAT-P-40 b    195.53   19.38   0.06   1.51    501.00          0  Primary Transit  2012         NaN
321           HAT-P-41 b    254.35   18.87   0.04   1.28    344.00          0  Primary Transit  2012         NaN
322           HAT-P-42 b    309.99   14.30   0.06   1.18    447.00          0  Primary Transit  2012         NaN
323           HAT-P-43 b    209.84   14.37   0.04   1.05    543.00          0  Primary Transit  2012         NaN
324           HAT-P-44 b    124.63   14.34   0.05   0.94    374.00          0  Primary Transit  2013         NaN
325           HAT-P-44 c    508.70   11.00   0.70   0.94    374.00          0  Primary Transit  2013         NaN
326           HAT-P-45 b    283.60   15.97   0.05   1.26    305.00          0  Primary Transit  2013         NaN
327           HAT-P-46 b    156.74   14.38   0.06   1.28    296.00          0  Primary Transit  2013         NaN
328           HAT-P-46 c    635.88   11.26   0.39   1.28    296.00          0  Primary Transit  2013         NaN
329           HAT-P-47 b     65.50   14.71   0.06   1.39    268.00          0  Primary Transit  2016         NaN
330           HAT-P-48 b     53.41   12.67   0.05   1.10    305.00          0  Primary Transit  2016         NaN
331           HAT-P-49 b    550.04   15.83   0.04   1.54    322.00          0  Primary Transit  2014         NaN
332           HAT-P-50 b    432.40   14.43   0.04   1.27    597.00          0  Primary Transit  2015         NaN
333           HAT-P-51 b     98.24   14.48   0.05   0.98    470.00          0  Primary Transit  2015         NaN
334           HAT-P-52 b    260.39   11.30   0.04   0.89    385.00          0  Primary Transit  2015         NaN
335           HAT-P-53 b    472.78   14.76   0.03   1.09    719.00          0  Primary Transit  2015         NaN
336           HAT-P-54 b    241.63   10.57   0.04   0.65    135.80          0  Primary Transit  2014         NaN
337           HAT-P-55 b    185.04   13.24   0.05   1.01    480.00          0  Primary Transit  2015         NaN
338           HAT-P-56 b    699.47   16.42   0.04   1.30    310.50          0  Primary Transit  2015         NaN
339           HAT-P-57 b    588.19   15.83   0.04   1.47    303.00          0  Primary Transit  2015         NaN
340           HAT-P-65 b    167.55   21.17   0.04   1.21    841.00          0  Primary Transit  2016         NaN
341           HAT-P-66 b    248.95   17.81   0.04   1.25    927.00          0  Primary Transit  2016         NaN
342           HAT-P-67 b    108.10   23.35   0.06   1.64    320.00          0  Primary Transit  2017         NaN
343             HATS-1 b    589.78   14.58   0.04   0.99    303.00          0  Primary Transit  2012         NaN
344             HATS-2 b    427.63   13.08   0.02   0.88    360.00          0  Primary Transit  2013         NaN
345             HATS-3 b    340.51   15.47   0.05   1.21    453.00          0  Primary Transit  2013         NaN
346             HATS-4 b    420.63   11.42   0.04   1.00    420.00          0  Primary Transit  2014         NaN
347             HATS-5 b     75.35   10.21   0.05   0.94    257.00          0  Primary Transit  2014         NaN
348             HATS-6 b    101.42   11.18   0.04   0.57    148.40          0  Primary Transit  2014         NaN
349             HATS-7 b     38.15    6.31   0.04   0.85    257.00          0  Primary Transit  2015         NaN
350             HATS-8 b     43.88    9.78   0.04   1.06    829.00          0  Primary Transit  2015         NaN
351             HATS-9 b    266.75   11.93   0.03   1.03    622.00          0  Primary Transit  2015         NaN
352            HATS-10 b    167.24   10.85   0.04   1.10    496.00          0  Primary Transit  2015         NaN
353            HATS-11 b    270.25   16.91   0.04   1.00    906.00          0  Primary Transit  2016         NaN
354            HATS-12 b    763.06   15.12   0.05   1.49    981.00          0  Primary Transit  2016         NaN
355            HATS-13 b    172.64   13.57   0.04   0.96    476.00          0  Primary Transit  2015         NaN
